cell,cell_idx,ratio_matched_mean,ratio_matched_min,ratio_matched_max
RTMDet--DOTA,0,1.484112,1.359447,1.630848
ORCNN--DOTA,1,1.459019,1.335686,1.609451
ORCNN--DIOR-R,2,1.758635,1.654688,1.811654
RTMDet--DIOR-R,3,1.698327,1.629042,1.817948
RoI-Trans--DIOR-R,4,1.749384,1.66862,1.807706
S2A-Net--DIOR-R,5,1.656397,1.558608,1.723769
