cell,cell_idx,ratio_matched_mean,ratio_matched_min,ratio_matched_max
RTMDet--DOTA,0,0.928518,0.47068,1.255651
ORCNN--DOTA,1,0.930518,0.416773,1.229378
ORCNN--DIOR-R,2,0.791013,0.67316,0.885742
RTMDet--DIOR-R,3,0.82534,0.741498,0.916672
RoI-Trans--DIOR-R,4,0.757945,0.621593,0.856156
S2A-Net--DIOR-R,5,0.848517,0.742243,0.967359
